lambda_min	1.000000e+04
lambda_max	4.500000e+04
Warning:  Question (t) does not match word (lambda_min) in file. Continuing!
Warning:  Question (t) does not match word (lambda_max) in file. Continuing!
t	1.000000e+04
         0    0.00      inf
Boundary 0.000360
    623000    6.23   8.62e-07
    624000    6.24   8.62e-07
    625000    6.25   8.62e-07
    626000    6.26   8.62e-07
    627000    6.27   8.62e-07
    628000    6.28   8.61e-07
    629000    6.29   8.61e-07
    630000    6.30   8.61e-07
    631000    6.31   8.61e-07
    632000    6.32   8.61e-07
    633000    6.33   8.61e-07
    634000    6.34   8.61e-07
    635000    6.35   8.61e-07
    636000    6.36   8.61e-07
    637000    6.37   8.61e-07
    638000    6.38   8.60e-07
    639000    6.39   8.60e-07
    640000    6.40   8.60e-07
    641000    6.41   8.60e-07
    642000    6.42   8.60e-07
    643000    6.43   8.60e-07
    644000    6.44   8.60e-07
    645000    6.45   8.60e-07
    646000    6.46   8.60e-07
    647000    6.47   8.60e-07
    648000    6.48   8.60e-07
    649000    6.49   8.59e-07
    650000    6.50   8.59e-07
    651000    6.51   8.59e-07
    652000    6.52   8.59e-07
    653000    6.53   8.59e-07
    654000    6.54   8.59e-07
    655000    6.55   8.59e-07
    656000    6.56   8.59e-07
    657000    6.57   8.59e-07
    658000    6.58   8.59e-07
    659000    6.59   8.58e-07
    660000    6.60   8.58e-07
    661000    6.61   8.58e-07
    662000    6.62   8.58e-07
    663000    6.63   8.58e-07
    664000    6.64   8.58e-07
    665000    6.65   8.58e-07
    666000    6.66   8.58e-07
    667000    6.67   8.58e-07
    668000    6.68   8.58e-07
    669000    6.69   8.58e-07
    670000    6.70   8.58e-07
    671000    6.71   8.57e-07
    672000    6.72   8.57e-07
    673000    6.73   8.57e-07
    674000    6.74   8.57e-07
    675000    6.75   8.57e-07
    676000    6.76   8.57e-07
    677000    6.77   8.57e-07
    678000    6.78   8.57e-07
    679000    6.79   8.57e-07
    680000    6.80   8.57e-07
    681000    6.81   8.57e-07
    682000    6.82   8.57e-07
    683000    6.83   8.56e-07
    684000    6.84   8.56e-07
    685000    6.85   8.56e-07
    686000    6.86   8.56e-07
    687000    6.87   8.56e-07
    688000    6.88   8.56e-07
    689000    6.89   8.56e-07
    690000    6.90   8.56e-07
    691000    6.91   8.56e-07
    692000    6.92   8.56e-07
    693000    6.93   8.56e-07
    694000    6.94   8.56e-07
    695000    6.95   8.55e-07
    696000    6.96   8.55e-07
    697000    6.97   8.55e-07
    698000    6.98   8.55e-07
    699000    6.99   8.55e-07
    700000    7.00   8.55e-07
    701000    7.01   8.55e-07
    702000    7.02   8.55e-07
    703000    7.03   8.55e-07
    704000    7.04   8.55e-07
    705000    7.05   8.55e-07
    706000    7.06   8.55e-07
    707000    7.07   8.55e-07
    708000    7.08   8.54e-07
    709000    7.09   8.54e-07
    710000    7.10   8.54e-07
    711000    7.11   8.55e-07
    712000    7.12   8.55e-07
    713000    7.13   8.55e-07
    714000    7.14   8.54e-07
    715000    7.15   8.54e-07
    716000    7.16   8.54e-07
    717000    7.17   8.54e-07
    718000    7.18   8.54e-07
    719000    7.19   8.54e-07
    720000    7.20   8.54e-07
    721000    7.21   8.54e-07
    722000    7.22   8.54e-07
    723000    7.23   8.54e-07
    724000    7.24   8.54e-07
    725000    7.25   8.54e-07
    726000    7.26   8.54e-07
    727000    7.27   8.54e-07
    728000    7.28   8.53e-07
    729000    7.29   8.53e-07
    730000    7.30   8.53e-07
    731000    7.31   8.53e-07
    732000    7.32   8.53e-07
    733000    7.33   8.53e-07
